,Unnamed: 0,ORDEN,NOMBRE REGIÓN,CÓDIGO REGIÓN,NOMBRE PROVINCIA,CÓDIGO PROVINCIA,NOMBRE COMUNA,CÓDIGO COMUNA,EDAD,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA,HOMBRES ,MUJERES,TOTAL ÁREA URBANA,HOMBRES ÁREA URBANA ,MUJERES ÁREA URBANA,TOTAL ÁREA RURAL,HOMBRES ÁREA RURAL,MUJERES ÁREA RURAL
8466,,8466,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,Total Comuna,404495,206678,197817,404495,206678,197817,0,0,0
8467,,8467,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,0,4693,2363,2330,4693,2363,2330,0,0,0
8468,,8468,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,1,4447,2235,2212,4447,2235,2212,0,0,0
8469,,8469,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,2,4170,2145,2025,4170,2145,2025,0,0,0
8470,,8470,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,3,3729,1899,1830,3729,1899,1830,0,0,0
8471,,8471,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,4,3578,1794,1784,3578,1794,1784,0,0,0
8472,,8472,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,5,3269,1627,1642,3269,1627,1642,0,0,0
8473,,8473,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,6,3389,1711,1678,3389,1711,1678,0,0,0
8474,,8474,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,7,3135,1546,1589,3135,1546,1589,0,0,0
8475,,8475,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,8,3025,1536,1489,3025,1536,1489,0,0,0
8476,,8476,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,9,2867,1461,1406,2867,1461,1406,0,0,0
8477,,8477,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,10,2794,1420,1374,2794,1420,1374,0,0,0
8478,,8478,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,11,2551,1308,1243,2551,1308,1243,0,0,0
8479,,8479,METROPOLITANA DE SANTIAGO,13,SANTIAGO,131,SANTIAGO,13101,12,2552,1300,1252,2552,1300,1252,0,0,0
