,Comuna,Hombre,Mujer,Total
0,Santiago,14.2465,14.09715,14.16776
1,Cerrillos,12.09912,11.33628,11.70725
2,Cerro Navia,10.8217,10.20509,10.47138
3,Conchalí,11.5174,11.33491,11.42178
4,El Bosque,11.54566,11.27907,11.40437
5,Estación Central,12.21008,12.11204,12.15678
6,Huechuraba,12.1338,12.39564,12.27306
7,Independencia,13.50325,12.99167,13.22689
8,La Cisterna,12.95169,12.67264,12.79405
9,La Florida,12.84151,12.38251,12.59194
10,La Granja,11.24281,10.25494,10.70459
11,La Pintana,10.43528,10.03785,10.23288
12,La Reina,14.90114,14.6953,14.79303
13,Las Condes,16.02321,15.22242,15.58784
14,Lo Barnechea,14.06604,14.06196,14.06383
15,Lo Espejo,10.33207,10.50265,10.4296
16,Lo Prado,11.39406,11.34726,11.36937
17,Macul,13.59864,13.19707,13.37166
18,Maipú,12.55675,12.31324,12.42664
19,Ñuñoa,16.2003,15.11368,15.60764
20,Pedro Aguirre Cerda,11.07313,10.98422,11.02832
21,Peñalolén,12.49516,12.34003,12.40975
22,Providencia,16.67775,15.89375,16.25641
23,Pudahuel,12.10377,11.63061,11.84711
24,Quilicura,12.1446,12.24462,12.1994
25,Quinta Normal,12.87735,12.75778,12.81402
26,Recoleta,11.61237,11.34204,11.47486
27,Renca,11.08107,10.71146,10.87587
28,San Joaquín,12.22271,11.46704,11.79087
29,San Miguel,14.2809,13.92711,14.09352
30,San Ramón,11.0465,10.49283,10.75369
31,Vitacura,16.77741,15.78871,16.23184
32,Puente Alto,12.23328,11.87055,12.03119
33,Pirque,11.9077,11.90727,11.90746
34,San José de Maipo,11.39866,11.48771,11.44727
35,Colina,11.43258,11.66846,11.55875
36,Lampa,11.0004,10.80142,10.89963
37,Tiltil,9.746385,9.315533,9.550632
38,San Bernardo,11.57008,11.66251,11.61985
39,Buin,12.35186,12.46885,12.41278
40,Calera de Tango,10.94084,9.721483,10.24268
41,Paine,10.84652,10.93364,10.8919
42,Melipilla,10.88937,11.01958,10.95887
43,Alhué,9.704569,10.14291,9.915305
44,Curacaví,10.52581,11.34549,10.91139
45,María Pinto,9.378217,9.556354,9.468438
46,San Pedro,9.172427,8.346662,8.739448
47,Talagante,11.69747,11.37195,11.51954
48,El Monte,10.48038,11.03173,10.75927
49,Isla de Maipo,9.617036,10.45156,10.07175
50,Padre Hurtado,11.5025,11.2552,11.37208
51,Peñaflor,12.36582,11.60664,11.96518
