,Comuna,Pertenece a algún pueblo originario,No pertenece a ningún pueblo originario,Total
0,Santiago,3.3804059352192533,96.61959406478074,100
1,Cerrillos,7.907907907907908,92.09209209209209,100
2,Cerro Navia,6.8861914783557605,93.11380852164424,100
3,Conchalí,2.609381329938075,97.39061867006193,100
4,El Bosque,8.732620195683722,91.26737980431628,100
5,Estación Central,5.454728499125962,94.54527150087404,100
6,Huechuraba,9.953775303295872,90.04622469670413,100
7,Independencia,2.053536498842938,97.94646350115706,100
8,La Cisterna,4.65770460736705,95.34229539263295,100
9,La Florida,6.7339280221470315,93.26607197785297,100
10,La Granja,4.531001589825119,95.46899841017488,100
11,La Pintana,9.385106427952397,90.6148935720476,100
12,La Reina,4.253467010866302,95.7465329891337,100
13,Las Condes,2.075270527388505,97.92472947261149,100
14,Lo Barnechea,2.6101786890964767,97.38982131090353,100
15,Lo Espejo,7.420678042429048,92.57932195757095,100
16,Lo Prado,18.25101308548604,81.74898691451396,100
17,Macul,3.8658423808171496,96.13415761918284,100
18,Maipú,6.9216906946264745,93.07830930537352,100
19,Ñuñoa,2.6937496888439547,97.30625031115605,100
20,Pedro Aguirre Cerda,10.025736021946322,89.97426397805368,100
21,Peñalolén,9.13124785606002,90.86875214393999,100
22,Providencia,3.5801806139392482,96.41981938606075,100
23,Pudahuel,7.820632024043302,92.1793679759567,100
24,Quilicura,7.97718147278485,92.02281852721515,100
25,Quinta Normal,3.107032680483617,96.89296731951639,100
26,Recoleta,7.28081841432225,92.71918158567775,100
27,Renca,10.744502926853263,89.25549707314674,100
28,San Joaquín,7.749423089920729,92.25057691007927,100
29,San Miguel,6.237221717401181,93.76277828259882,100
30,San Ramón,4.400094195219593,95.5999058047804,100
31,Vitacura,1.0046336162709641,98.99536638372903,100
32,Puente Alto,7.476601627121717,92.52339837287828,100
33,Pirque,11.536901232641597,88.4630987673584,100
34,San José de Maipo,6.882380481714613,93.11761951828538,100
35,Colina,9.586699975958775,90.41330002404122,100
36,Lampa,8.93485337264805,91.06514662735195,100
37,Tiltil,0.37988422575976843,99.62011577424023,100
38,San Bernardo,8.38888080337651,91.61111919662349,100
39,Buin,6.585225689607133,93.41477431039287,100
40,Calera de Tango,3.2150327238377976,96.7849672761622,100
41,Paine,5.832299648740451,94.16770035125955,100
42,Melipilla,6.3369735429474074,93.6630264570526,100
43,Alhué,2.97673209411153,97.02326790588847,100
44,Curacaví,9.37383822826491,90.62616177173508,100
45,María Pinto,4.574398960363872,95.42560103963612,100
46,San Pedro,4.288609647344954,95.71139035265504,100
47,Talagante,5.1787857541799855,94.82121424582002,100
48,El Monte,7.448299188248937,92.55170081175106,100
49,Isla de Maipo,4.734397188726021,95.26560281127398,100
50,Padre Hurtado,10.636760156210377,89.36323984378963,100
51,Peñaflor,6.425637596714108,93.57436240328589,100
