,Comuna,Ponlación nacida en Chile,Población nacida fuera de Chile,No sabe,Total
0,Santiago,58.033317751372216,40.53131974184209,1.4353625067856928,100.0
1,Cerrillos,89.76754532310088,9.5117339561784,0.7207207207207207,100.0
2,Cerro Navia,90.00375558909603,8.173012195035536,1.8232322158684269,100.0
3,Conchalí,82.13438277678107,15.545604491000637,2.3200127322182995,100.0
4,El Bosque,94.26056832545292,4.182271429240204,1.5571602453068676,99.99999999999999
5,Estación Central,62.91837126932264,35.80535039308824,1.2762783375891198,100.0
6,Huechuraba,89.16383132281679,10.379076880778086,0.4570917964051277,100.0
7,Independencia,48.70336111608416,50.43862266515486,0.8580162187609821,100.0
8,La Cisterna,78.37853843420585,19.202297761459196,2.419163804334952,100.0
9,La Florida,88.62085512150108,9.52716087357736,1.8519840049215626,100.0
10,La Granja,91.98297562268151,5.448463169051404,2.5685612082670906,100.0
11,La Pintana,94.37950495677356,2.939715487539369,2.6807795556870784,100.00000000000001
12,La Reina,90.24534229853315,6.149566748714254,3.6050909527525965,99.99999999999999
13,Las Condes,88.28264442363087,10.056785716389513,1.6605698599796184,100.0
14,Lo Barnechea,89.75774254816078,8.206519632543896,2.0357378192953215,100.0
15,Lo Espejo,88.89835237451908,6.824478447727295,4.277169177753629,100.00000000000001
16,Lo Prado,89.87881660009478,9.192723193129394,0.9284602067758252,100.0
17,Macul,87.07575128703643,11.63029468947288,1.2939540234906903,99.99999999999999
18,Maipú,94.6804008300568,3.8028342070773262,1.5167649628658804,100.0
19,Ñuñoa,85.08250900916427,12.024601433041134,2.8928895577946023,100.0
20,Pedro Aguirre Cerda,89.41240796779698,9.577005382882247,1.0105866493207765,100.0
21,Peñalolén,93.48500440775618,5.683607942075813,0.8313876501680111,100.0
22,Providencia,88.36935118485461,10.165243853508885,1.465404961636513,100.0
23,Pudahuel,91.70830134375518,6.16900528165618,2.1226933745886365,100.0
24,Quilicura,85.57654737672524,13.56273420434713,0.8607184189276186,99.99999999999999
25,Quinta Normal,54.09058200756631,44.996758312612656,0.9126596798210304,100.0
26,Recoleta,81.77391304347826,16.74526854219949,1.4808184143222507,100.00000000000001
27,Renca,91.68429337399773,6.907004771508682,1.4087018544935805,100.0
28,San Joaquín,82.01778524461953,16.622734602052738,1.3594801533277332,100.00000000000001
29,San Miguel,68.46532825988187,31.186818491594728,0.34785324852339844,100.0
30,San Ramón,91.21158601200989,6.626633698339809,2.1617802896503004,100.0
31,Vitacura,88.64558986345183,9.048878500840612,2.305531635707549,100.0
32,Puente Alto,94.80922488876803,3.777279216806037,1.4134958944259373,100.0
33,Pirque,98.7735996255266,0.0,1.226400374473397,100.0
34,San José de Maipo,95.55220309004838,2.9704000416168133,1.4773968683348073,100.0
35,Colina,89.97689951813022,8.740030730957782,1.2830697509119986,100.0
36,Lampa,92.74599675945524,6.935787583750566,0.3182156567941962,100.0
37,Tiltil,96.9157018813314,3.0842981186685963,0.0,100.0
38,San Bernardo,90.58885169553194,6.352787076117013,3.0583612283510404,100.0
39,Buin,90.33243939816104,8.535629701866815,1.1319308999721371,99.99999999999999
40,Calera de Tango,99.30841373726469,0.691586262735308,0.0,100.0
41,Paine,93.63095721125421,5.3929353937468845,0.9761073949988986,100.0
42,Melipilla,87.93397019906043,11.199628001121468,0.8664017998181035,100.0
43,Alhué,94.59248667619914,4.523592876641103,0.8839204471597556,100.0
44,Curacaví,96.31419618673323,3.0245897286101227,0.6612140846566467,100.0
45,María Pinto,98.55750487329435,0.9486679662118258,0.49382716049382713,100.0
46,San Pedro,94.25212809079854,3.4454803404945276,2.3023915687069314,100.0
47,Talagante,90.72619457879289,8.021295052940548,1.2525103682665684,100.0
48,El Monte,97.92713567839196,1.3287591805179746,0.7441051410900658,100.0
49,Isla de Maipo,92.15827857607047,0.818350302067538,7.023371121861987,100.0
50,Padre Hurtado,95.84875995333975,3.1178678297915505,1.033372216868692,100.0
51,Peñaflor,94.16849746871716,2.1320087878498426,3.699493743432993,100.0
